Category,Annual Mean,5-yr smooth
1901,1144.77,1167.46
1902,1126.61,1164.72
1903,1291.56,1160.74
1904,1094.95,1154.28
1905,1185.09,1144.13
1906,1046.87,1129.05
1907,1125.24,1108.11
1908,1064.26,1083.18
1909,1086.44,1057.87
1910,1102.73,1035.58
1911,880.1,1019.77
1912,1206.76,1013.77
1913,855.7,1017.42
1914,995.06,1026.75
1915,1113.56,1037.63
1916,1077.9,1045.96
1917,1097.84,1047.58
1918,892.86,1041.02
1919,1107.9,1030.32
1920,1077,1020.21
1921,876.99,1015.48
1922,1032.02,1020.85
1923,1133.32,1039.51
1924,1004.12,1067.58
1925,1167.83,1098.89
1926,1188.82,1127.51
1927,1078.1,1147.44
1928,974.96,1153.34
1929,1130.82,1146.94
1930,1404.51,1134.22
1931,1111.35,1121.2
1932,1093.82,1113.9
1933,1055.95,1118.22
1934,1040.05,1134.69
1935,1114.5,1157.62
1936,1279.82,1181.01
1937,1411.87,1198.65
1938,1046.22,1204.58
1939,1080.96,1195.73
1940,1124.12,1176.24
1941,1366.26,1151.48
1942,1156.85,1126.65
1943,953.98,1107.01
1944,1112.34,1096.79
1945,1098.11,1095.14
1946,1093.89,1099.42
1947,1217.39,1107.05
1948,1058.75,1115.45
1949,1040.5,1122.14
1950,1134.58,1126.65
1951,1330.4,1129.81
1952,933.26,1132.44
1953,1185.89,1135.38
1954,1059.13,1139.47
1955,1180.81,1145.34
1956,1210.68,1153.38
1957,1265.87,1163.89
1958,1131.41,1177.24
1959,1133.48,1193.77
1960,1029.84,1213.09
1961,1290.25,1232.44
1962,1338.88,1248.89
1963,1491.72,1259.43
1964,1176.28,1261.05
1965,1134.28,1251.57
1966,1163.93,1233.75
1967,1209.74,1212.11
1968,1274.44,1191.16
1969,1086.16,1175.56
1970,1221.47,1169.49
1971,1207.46,1173.06
1972,1240.85,1183.24
1973,1199.03,1196.84
1974,1124.35,1210.76
1975,1216.02,1221.91
1976,1126.18,1228.48
1977,1342.96,1230.58
1978,1284.56,1228.51
1979,1226.57,1222.59
1980,1198.78,1213.05
1981,1178.58,1200.46
1982,1199.23,1185.93
1983,1174.8,1170.72
1984,1053.28,1156.06
1985,1141.84,1143.29
1986,1116.76,1133.5
1987,1198.49,1126.96
1988,1237.01,1123.55
1989,1083.31,1123.2
1990,1121.35,1125.79
1991,1124.23,1131.17
1992,1081.4,1138.68
1993,1069.47,1147.07
1994,1228.93,1155.17
1995,1184.44,1161.76
1996,1131.01,1165.66
1997,1212.43,1166.24
1998,1225.09,1163.9
1999,1036.3,1159.11
2000,1052.96,1152.34
2001,1371.05,1144.09
2002,1164.27,1135.18
2003,1212.17,1127.73
2004,848.17,1124.12
2005,973.72,1126.74
2006,1311.31,1137.98
2007,1285.13,1159.56
2008,1092.57,1188.25
2009,1210.29,1218.2
2010,1337.63,1243.75
2011,1379.66,1259.2
2012,1085.72,1259.13
2013,1208.98,1244.46
2014,1190.83,1222.15
2015,1237.82,1199.36
2016,1233.03,1183.2
2017,1122.51,1180.93
2018,1127.88,1196.11
2019,1346.11,1225.84
2020,1350.27,1266.6
2021,1206.26,1314.54
2022,1372.07,1366.11
