crop,nitrogen_req,phosphorus_req,potassium_req,optimal_ph,planting_season,days_to_harvest,drought_resistance,optimal_yield,average_yield,low_altitude_short_dry_adjusted,mid_altitude_short_dry_adjusted,high_altitude_short_dry_adjusted
Maize,120,60,40,6.0,2-3,90,5,6.0,3.0,715.0000000000001,660.0,605.0
Rice,100,50,80,6.0,"1-2,9-10",120,3,5.0,3.5,1320.0,1210.0,1100.0
Sorghum,80,40,30,6.0,9-10,100,8,3.0,1.5,495.00000000000006,440.00000000000006,385.00000000000006
Wheat,100,50,40,6.5,2-3,110,6,4.0,2.5,495.00000000000006,467.50000000000006,440.00000000000006
Millet,60,30,20,6.0,9-10,90,8,2.5,1.2,440.00000000000006,412.50000000000006,385.00000000000006
Cassava,60,20,80,5.8,9-11,300,7,25.0,12.0,990.0000000000001,935.0000000000001,880.0000000000001
Sweet Potatoes,80,40,100,6.0,9-10,150,7,18.0,10.0,605.0,550.0,495.00000000000006
Irish Potatoes,110,80,120,6.0,"1-2,6-7",100,5,20.0,12.0,660.0,605.0,550.0
Yams,70,30,90,6.0,2-3,270,6,15.0,8.0,825.0000000000001,770.0000000000001,715.0000000000001
Taro,60,20,80,6.0,2-3,300,6,8.0,4.0,880.0000000000001,825.0000000000001,770.0000000000001
Beans,40,60,60,6.5,"2-3,9-10",90,5,2.5,1.2,440.00000000000006,412.50000000000006,385.00000000000006
Soybeans,60,40,30,6.5,2-3,110,6,2.2,1.0,495.00000000000006,467.50000000000006,440.00000000000006
Groundnuts,30,50,30,6.5,2-3,130,8,2.0,1.0,550.0,522.5,495.00000000000006
Peas,30,40,20,6.5,2-3,70,4,2.0,1.0,385.00000000000006,357.50000000000006,330.0
Green Grams,25,30,15,6.5,2-3,70,7,1.5,0.8,418.00000000000006,390.50000000000006,363.00000000000006
Coffee,150,50,180,5.5,"3-4,9-10",300,6,1.0,0.6,1760.0000000000002,1650.0000000000002,1540.0000000000002
Tea,120,45,90,5.0,3-4,1095,5,2.5,1.5,2200.0,2090.0,1980.0000000000002
Pyrethrum,60,30,40,6.0,9-10,150,7,0.8,0.5,770.0000000000001,715.0000000000001,660.0
Sugarcane,180,100,150,6.5,2-3,365,4,110.0,70.0,1980.0000000000002,1870.0000000000002,1760.0000000000002
Cotton,120,60,60,6.5,2-3,180,6,2.0,1.2,990.0000000000001,935.0000000000001,880.0000000000001
Banana,250,75,300,6.0,"2-3,9-10",365,4,30.0,15.0,1980.0000000000002,1870.0000000000002,1760.0000000000002
Avocado,80,40,120,6.5,3-4,1095,7,10.0,6.0,880.0000000000001,825.0000000000001,770.0000000000001
Mango,100,50,150,6.0,3-4,1825,7,20.0,12.0,1100.0,1045.0,990.0000000000001
Pineapple,140,60,180,5.5,3-4,540,5,60.0,40.0,1320.0,1265.0,1210.0
Passion Fruit,90,45,110,6.5,2-3,365,5,15.0,10.0,990.0000000000001,935.0000000000001,880.0000000000001
Tree Tomato,80,40,90,6.0,2-3,365,5,25.0,15.0,935.0000000000001,880.0000000000001,825.0000000000001
Tomatoes,120,90,150,6.0,"1-3,9-10",75,4,25.0,15.0,440.00000000000006,412.50000000000006,385.00000000000006
Cabbage,150,100,120,6.5,"1-3,9-10",90,4,50.0,30.0,418.00000000000006,390.50000000000006,363.00000000000006
Carrots,100,80,90,6.5,"2-3,9-10",75,5,30.0,18.0,440.00000000000006,412.50000000000006,385.00000000000006
Onions,80,60,70,6.5,"2-3,9-10",90,6,25.0,15.0,385.00000000000006,357.50000000000006,330.0
Green Peppers,100,70,110,6.0,"2-3,9-10",80,5,15.0,10.0,660.0,605.0,550.0
Eggplant,90,60,100,6.0,"2-3,9-10",90,5,35.0,20.0,495.00000000000006,467.50000000000006,440.00000000000006
Sunflower,60,40,50,6.5,2-3,100,7,2.0,1.2,660.0,605.0,550.0
Palm Oil,120,60,140,5.5,3-4,1095,6,4.0,2.5,1320.0,1265.0,1210.0
Macadamia,70,30,60,6.0,3-4,540,7,1.5,0.8,990.0000000000001,935.0000000000001,880.0000000000001
Ginger,50,30,70,6.0,3-4,240,6,25.0,15.0,880.0000000000001,825.0000000000001,770.0000000000001
Chili Peppers,80,50,80,6.0,"2-3,9-10",90,6,10.0,6.0,550.0,522.5,495.00000000000006
Vanilla,60,30,50,6.5,3-4,270,4,0.2,0.1,990.0000000000001,935.0000000000001,880.0000000000001
